prox1,prox2,prox3,prox4,prox5,prox6,prox7,prox8,prox9,prox10,prox11,prox12,prox13,prox14,prox15,prox16,prox17,prox18,prox19,prox20,prox21,prox22,prox23,prox24,prox25,prox26,prox27,prox28,prox29,prox30,prox31,prox32,prox33,prox34,prox35,prox36,prox37,prox38,prox39,prox40,prox41,prox42,prox43,prox44,prox45,prox46,prox47,prox48,prox49,prox50,prox51,prox52,prox53,prox54,prox55,prox56,prox57
0.4202898,0.4666667,0.3482587,0.3717105,0.439834,0.4038461,0.4714286,0.4576271,0.6766169,0.4975846,0,0.3578431,0.4671533,0.4822695,0.4179105,0.4112149,0.3383085,0.3201754,0.4355555,0.3891214,0.3100437,0.4529148,0.3819743,0.4715447,0.4279279,0.1840796,0.1094527,0.119403,0.2039801,0.3498233,0.4032787,0.3913043,0.379397,0.3134328,0.4338843,0.4111111,0.4334278,0.4825175,0.3283582,0.4084084,0.3084577,0.3484163,0.2487562,0.3432836,0.4766355,0.4726368,0.4393305,0.3901345,0.3318777,0.3532338,0.3595506,0.3886719,0.3975904,0.3883929,0.3681592,0.4906367,0.4112149
0.3574879,0.4280702,0.3431373,0.4243421,0.3858921,0.3692308,0.4107143,0.4237288,0.3235294,0.3864734,0.3578431,0,0.3978102,0.4219858,0.3872549,0.4065421,0.3529412,0.4298246,0.3688889,0.4142259,0.4104804,0.4439462,0.4420601,0.394309,0.3873874,0.2058824,0.127451,0.1029412,0.25,0.4204947,0.4098361,0.4113712,0.3969849,0.3480392,0.4132231,0.4370371,0.3994334,0.4195804,0.3039216,0.3933934,0.3088235,0.3981901,0.2254902,0.3039216,0.364486,0.3382353,0.4476987,0.3946188,0.371179,0.3382353,0.4307116,0.3945313,0.3955823,0.390625,0.3235294,0.3932584,0.3831776
0.3868613,0.8,0.3722628,0.5493421,0.5656934,0.6021898,0.6642857,0.6881356,0.459854,0.4708029,0.4671533,0.3978102,0,0.822695,0.4562044,0.4489051,0.419708,0.3905109,0.4854015,0.5474452,0.4671533,0.5109489,0.4817518,0.6642336,0.5912409,0.2116788,0.1240876,0.1240876,0.189781,0.5017668,0.5934426,0.5384616,0.5527638,0.4416058,0.5036497,0.6423358,0.5949008,0.6153846,0.3284672,0.5615616,0.3284672,0.4744526,0.2627737,0.3138686,0.419708,0.4562044,0.5510949,0.4817518,0.4379562,0.3649635,0.5948905,0.53125,0.5401607,0.5334821,0.3649635,0.6605839,0.5364963
0.3829787,0.9192982,0.3758865,0.5526316,0.535461,0.5531915,0.6631206,0.6915254,0.4503546,0.4574468,0.4822695,0.4219858,0.822695,0,0.4468085,0.4822695,0.4113475,0.393617,0.4929078,0.5070922,0.4184397,0.5283688,0.4787234,0.6560284,0.5780142,0.1914894,0.1134752,0.1134752,0.1950355,0.4628975,0.5836065,0.5117057,0.5628141,0.4397163,0.5106383,0.641844,0.6203966,0.6223776,0.3156028,0.5645646,0.3333333,0.464539,0.2588652,0.3368794,0.4326241,0.4893617,0.5673759,0.4680851,0.4113475,0.3510638,0.5851064,0.546875,0.5542169,0.5446429,0.3617021,0.6347518,0.5319149
0.4202898,0.4385965,0.3316583,0.3552631,0.4688797,0.4384615,0.4321429,0.4135593,0.4673367,0.468599,0.4179105,0.3872549,0.4562044,0.4468085,0,0.4672897,0.3969849,0.377193,0.4355555,0.4435146,0.489083,0.3049327,0.3948498,0.4552846,0.463964,0.2211055,0.1457286,0.1105528,0.201005,0.4169611,0.3836066,0.4046823,0.4120603,0.4673367,0.3636364,0.4296296,0.407932,0.3811189,0.3819095,0.3843844,0.4371859,0.4705882,0.2663317,0.4572864,0.3785047,0.4723618,0.3891214,0.3991031,0.4454148,0.4472362,0.4082397,0.3886719,0.3915663,0.3861607,0.4371859,0.4494382,0.4813084
0.3457944,0.4807017,0.2803738,0.4111842,0.4439834,0.4653846,0.5035715,0.4474576,0.3925234,0.4252336,0.4112149,0.4065421,0.4489051,0.4822695,0.4672897,0,0.4299065,0.4342105,0.4533333,0.4476987,0.510917,0.4618834,0.4763949,0.4390244,0.481982,0.2009346,0.1214953,0.0981308,0.2242991,0.4063604,0.4131148,0.4180602,0.4120603,0.4018691,0.3595041,0.4740741,0.4362606,0.4090909,0.3971963,0.4444444,0.4392523,0.4977376,0.2943925,0.4252336,0.3738318,0.4299065,0.4225941,0.4663677,0.3580786,0.3785047,0.5093633,0.4179688,0.4277108,0.4419643,0.3364486,0.4981273,0.4813084
0.3864734,0.4035088,0.3280423,0.3355263,0.4149378,0.4153846,0.4285714,0.3932203,0.3165829,0.3623188,0.3383085,0.3529412,0.419708,0.4113475,0.3969849,0.4299065,0,0.2938597,0.3866667,0.4435146,0.349345,0.470852,0.4034335,0.4308943,0.4684685,0.1640212,0.1481481,0.1164021,0.2275132,0.2614841,0.3508197,0.2842809,0.3592965,0.3842105,0.4132231,0.462963,0.3201133,0.4160839,0.3597884,0.3813814,0.3968254,0.3710407,0.2222222,0.371134,0.3971963,0.4845361,0.4225941,0.4035874,0.2663755,0.2910053,0.4419476,0.3691406,0.375502,0.3794643,0.4074074,0.4007491,0.4485981
0.368421,0.3964912,0.254386,0.5756579,0.3692946,0.3961538,0.4142857,0.3966102,0.3245614,0.3640351,0.3201754,0.4298246,0.3905109,0.393617,0.377193,0.4342105,0.2938597,0,0.3333333,0.4476987,0.5021834,0.3421053,0.4206009,0.3577236,0.381579,0.2149123,0.1052632,0.1052632,0.2236842,0.5194346,0.4655738,0.5050167,0.4472362,0.4210526,0.4752066,0.4185185,0.4334278,0.3811189,0.3201754,0.4384384,0.3508772,0.4429825,0.3026316,0.3377193,0.4078947,0.2719298,0.3933055,0.4122807,0.5327511,0.377193,0.3932584,0.4453125,0.4477912,0.46875,0.3552631,0.4007491,0.3640351
0.3688889,0.4807017,0.32,0.4046053,0.6016598,0.5115384,0.4714286,0.4949152,0.44,0.4577778,0.4355555,0.3688889,0.4854015,0.4929078,0.4355555,0.4533333,0.3866667,0.3333333,0,0.4058577,0.4803493,0.4622222,0.472103,0.4837398,0.4666667,0.2133333,0.16,0.1022222,0.2222222,0.4204947,0.4688525,0.4414716,0.4547739,0.4177778,0.4628099,0.4481482,0.427762,0.4895105,0.3866667,0.4534535,0.36,0.4488889,0.2444444,0.3911111,0.4044445,0.44,0.4895397,0.4577778,0.4628821,0.3866667,0.423221,0.4355469,0.433735,0.421875,0.4488889,0.4794008,0.4488889
0.3807531,0.4982456,0.3138075,0.4671053,0.5103735,0.6346154,0.5321429,0.4983051,0.3807531,0.4100418,0.3891214,0.4142259,0.5474452,0.5070922,0.4435146,0.4476987,0.4435146,0.4476987,0.4058577,0,0.5941423,0.4393305,0.5355648,0.5121951,0.5271966,0.1966527,0.1213389,0.1297071,0.2175732,0.5159011,0.4918033,0.5083612,0.4547739,0.4267783,0.446281,0.5518519,0.4787535,0.458042,0.3807531,0.4534535,0.3891214,0.4853556,0.2301255,0.4058577,0.4016736,0.3891214,0.4393305,0.5188285,0.4728034,0.4058577,0.5468165,0.4667969,0.4638554,0.4776786,0.3598326,0.5131086,0.4979079
